id,[Random] First Name,[Random] Last Name,Lead Source,Created Date,Created Month,Became an MQL Date,MQL Month,Opportunity Created Date,Opportunity Month,Closed Date,Closed Month,Account ID,Account Domain,Account Name,Account Country,Account Continent,Opportunity ID,Product,Stage Status,New business booking $,MQL month / year,MQL to OPP date diff,OPP month / year,OPP to CW date diff,Closed month / year
2607,Daniel,Woodard,Signup,30/12/2022,01/12/2022,11/01/2023,01/01/2023,1/16/23,01/01/2023,04/01/2023,04/01/2023,837000000000000000,company3512902934.com,Company3512902934,Poland,Europe,opp1164617172,Free,Closed Won,0,01/01/2023,0,01/01/2023,3,04/01/2023
2618,David,Flores,Signup,28/12/2022,01/12/2022,09/01/2023,01/01/2023,,,,,8800000000000000000,company2461829824.com,Company2461829824,Norway,Europe,,,,0,01/01/2023,,,,
2715,Sheena,Delgado,Request Demo,22/12/2022,01/12/2022,05/04/2023,04/01/2023,04/10/2023,04/01/2023,,,16400000000000000000,company6368692348.com,Company6368692348,Bosnia and Herzegovina,Europe,opp5471686627,Free,Discovery,0,04/01/2023,0,04/01/2023,,
2757,Jacqueline,Carroll,Request Demo,22/10/2022,01/10/2022,10/02/2023,02/01/2023,2/13/23,02/01/2023,,,16000000000000000000,company7593335361.com,Company7593335361,Guatemala,North America,opp1133621300,Professional Monthly,Disqualified,100,02/01/2023,0,02/01/2023,,
2779,Laura,Ward,Signup,15/11/2022,01/11/2022,02/01/2023,01/01/2023,01/09/2023,01/01/2023,,,11400000000000000000,company4747051734.com,Company4747051734,Portugal,Europe,opp3958907542,Free,Discovery,0,01/01/2023,0,01/01/2023,,
2928,Jeffrey,Anderson,Signup,15/11/2022,01/11/2022,07/02/2023,02/01/2023,,,,,3780000000000000000,company754285894.com,Company754285894,Montenegro,Europe,,,,0,02/01/2023,,,,
2956,Suzanne,Hanna,Request Demo,07/12/2022,01/12/2022,14/02/2023,02/01/2023,2/16/23,02/01/2023,2/19/23,02/01/2023,9780000000000000000,company7662217586.com,Company7662217586,Jamaica,North America,opp7271712583,Professional Monthly,Contract Signed,100,02/01/2023,0,02/01/2023,0,02/01/2023
3004,Michael,Roberts,Gated Content,31/12/2022,01/12/2022,12/03/2023,03/01/2023,,,,,15500000000000000000,company8410612108.com,Company8410612108,France,Europe,,,,0,03/01/2023,,,,
3057,Gabriel,Griffin,3rd Party Data,27/10/2022,01/10/2022,12/01/2023,01/01/2023,,,,,16900000000000000000,company1903990350.com,Company1903990350,Belarus,Europe,,,,0,01/01/2023,,,,
3082,Mary,Stewart,3rd Party Data,29/12/2022,01/12/2022,02/01/2023,01/01/2023,,,,,7660000000000000000,company4014906515.com,Company4014906515,Italy,Europe,,,,0,01/01/2023,,,,
3117,Daniel,Sims,Signup,07/11/2022,01/11/2022,07/01/2023,01/01/2023,01/09/2023,01/01/2023,,,1180000000000000000,company2946911364.com,Company2946911364,Bosnia and Herzegovina,Europe,opp3502750246,Professional Monthly,Discovery,100,01/01/2023,0,01/01/2023,,
3144,Chad,Stafford,Signup,18/12/2022,01/12/2022,12/04/2023,04/01/2023,,,,,14900000000000000000,company9753101973.com,Company9753101973,Bahamas,North America,,,,0,04/01/2023,,,,
3192,Tiffany,Vasquez,Signup,23/09/2022,01/09/2022,14/01/2023,01/01/2023,,,,,15700000000000000000,company8689710964.com,Company8689710964,US,North America,,,,0,01/01/2023,,,,
3235,Jared,Bautista,Request Demo,11/10/2022,01/10/2022,06/02/2023,02/01/2023,,,,,12300000000000000000,company1614824998.com,Company1614824998,Bahamas,North America,,,,0,02/01/2023,,,,
3254,Stephanie,Jackson,Signup,28/12/2022,01/12/2022,17/01/2023,01/01/2023,,,,,14400000000000000000,company8027073703.com,Company8027073703,Zambia,Africa,,,,0,01/01/2023,,,,
3386,Sandra,Simon,Signup,16/11/2022,01/11/2022,28/01/2023,01/01/2023,,,,,3530000000000000000,company8154686063.com,Company8154686063,Ireland,Europe,,,,0,01/01/2023,,,,
3539,Kelly,Hayes,Signup,24/12/2022,01/12/2022,10/02/2023,02/01/2023,,,,,12900000000000000000,company3264461704.com,Company3264461704,Saudi Arabia,Asia,,,,0,02/01/2023,,,,
3546,George,Berry,Signup,30/10/2022,01/10/2022,19/01/2023,01/01/2023,,,,,3240000000000000000,company9710956642.com,Company9710956642,Guinea,Africa,,,,0,01/01/2023,,,,
3562,Brian,Duncan,Signup,09/12/2022,01/12/2022,15/03/2023,03/01/2023,,,,,16000000000000000000,company3987716222.com,Company3987716222,Guinea-Bissau,Africa,,,,0,03/01/2023,,,,
3657,Margaret,Koch,Request Demo,12/10/2022,01/10/2022,06/02/2023,02/01/2023,02/10/2023,02/01/2023,2/13/23,02/01/2023,1540000000000000000,company7423057250.com,Company7423057250,Liechtenstein,Europe,opp5494366766,Business Monthly,Closed Won,500,02/01/2023,0,02/01/2023,0,02/01/2023
3703,Derrick,Patterson,Gated Content,21/12/2022,01/12/2022,18/01/2023,01/01/2023,02/06/2023,02/01/2023,02/01/2023,02/01/2023,5360000000000000000,company9655282379.com,Company9655282379,Moldova,Europe,opp2911320722,Free,Closed Won,0,01/01/2023,1,02/01/2023,0,02/01/2023
3773,Spencer,Anderson,Signup,24/11/2022,01/11/2022,12/01/2023,01/01/2023,,,,,8340000000000000000,company8788032830.com,Company8788032830,CZ,Europe,,,,0,01/01/2023,,,,
3847,Erik,Hawkins,Signup,25/11/2022,01/11/2022,17/03/2023,03/01/2023,3/18/23,03/01/2023,03/01/2023,03/01/2023,4010000000000000000,company3953042912.com,Company3953042912,Mongolia,Asia,opp7314144078,Free,Closed Won,0,03/01/2023,0,03/01/2023,0,03/01/2023
3949,Sergio,Hammond,Request Demo,17/11/2022,01/11/2022,05/01/2023,01/01/2023,,,,,10700000000000000000,company5035556074.com,Company5035556074,Belarus,Europe,,,,0,01/01/2023,,,,
3962,Kristina,Baker,Signup,02/10/2022,01/10/2022,18/01/2023,01/01/2023,,,,,13000000000000000000,company2901743523.com,Company2901743523,Canada,North America,,,,0,01/01/2023,,,,
3983,Rebecca,Rasmussen,Request Demo,04/12/2022,01/12/2022,12/03/2023,03/01/2023,,,,,3390000000000000000,company4396807191.com,Company4396807191,Denmark,Europe,,,,0,03/01/2023,,,,
4012,John,Figueroa,Signup,25/12/2022,01/12/2022,23/01/2023,01/01/2023,,,,,5230000000000000000,company7247742149.com,Company7247742149,Kuwait,Asia,,,,0,01/01/2023,,,,
4057,William,Rice,Request Demo,30/12/2022,01/12/2022,03/01/2023,01/01/2023,01/06/2023,01/01/2023,,,2560000000000000000,company9356561901.com,Company9356561901,Belarus,Europe,opp9659902035,Professional Monthly,Closed Lost,100,01/01/2023,0,01/01/2023,,
4072,Marcus,Harris,Signup,04/11/2022,01/11/2022,06/02/2023,02/01/2023,02/10/2023,02/01/2023,02/01/2023,02/01/2023,9940000000000000000,company3257256595.com,Company3257256595,Mozambique,Africa,opp8689162296,Free,Closed Won,0,02/01/2023,0,02/01/2023,0,02/01/2023
4079,Raymond,Olson,Request Demo,28/12/2022,01/12/2022,17/03/2023,03/01/2023,10/01/2023,10/01/2023,10/01/2023,10/01/2023,11100000000000000000,company7928033299.com,Company7928033299,Mexico,North America,opp8209922453,Free,Closed Won,0,03/01/2023,7,10/01/2023,0,10/01/2023
4107,William,Thomas,Request Demo,30/09/2022,01/09/2022,12/01/2023,01/01/2023,,,,,1070000000000000000,company3439608813.com,Company3439608813,Burma (Myanmar),Asia,,,,0,01/01/2023,,,,
4144,Denise,Brooks,Request Demo,29/12/2022,01/12/2022,03/01/2023,01/01/2023,01/04/2023,01/01/2023,3/24/23,03/01/2023,14000000000000000000,company3857154409.com,Company3857154409,Jamaica,North America,opp3911415031,Free,Closed Won,0,01/01/2023,0,01/01/2023,2,03/01/2023
4158,Joan,Stone,Signup,24/12/2022,01/12/2022,04/03/2023,03/01/2023,9/16/23,09/01/2023,12/01/2023,12/01/2023,14400000000000000000,company4918174591.com,Company4918174591,Saint Vincent and the Grenadines,North America,opp1857355998,Business Monthly,Closed Won,500,03/01/2023,6,09/01/2023,3,12/01/2023
4183,Natalie,Gilbert,Signup,25/12/2022,01/12/2022,05/01/2023,01/01/2023,01/08/2023,01/01/2023,,,2990000000000000000,company7960897315.com,Company7960897315,Venezuela,South America,opp3261814619,Professional Monthly,Contract Signed,100,01/01/2023,0,01/01/2023,,
4188,Valerie,Kane,Events,25/12/2022,01/12/2022,03/01/2023,01/01/2023,,,,,14100000000000000000,company9211954947.com,Company9211954947,Canada,North America,,,,0,01/01/2023,,,,
4216,David,Willis,Signup,28/12/2022,01/12/2022,17/02/2023,02/01/2023,2/26/23,02/01/2023,,,17900000000000000000,company948906494.com,Company948906494,Jamaica,North America,opp3885019900,Free,Closed Lost,0,02/01/2023,0,02/01/2023,,
4225,James,Smith,Signup,30/12/2022,01/12/2022,03/01/2023,01/01/2023,01/10/2023,01/01/2023,1/16/23,01/01/2023,3080000000000000000,company8869286361.com,Company8869286361,Hungary,Europe,opp7827197592,Free,Closed Lost,0,01/01/2023,0,01/01/2023,0,01/01/2023
4245,Charles,Brock,Signup,14/12/2022,01/12/2022,05/03/2023,03/01/2023,,,,,17600000000000000000,company8096976218.com,Company8096976218,Vatican City,Europe,,,,0,03/01/2023,,,,
4289,Suzanne,Clark,Signup,08/10/2022,01/10/2022,19/01/2023,01/01/2023,,,,,7890000000000000000,company3187382404.com,Company3187382404,Trinidad and Tobago,North America,,,,0,01/01/2023,,,,
4290,Margaret,Alvarado,3rd Party Data,15/12/2022,01/12/2022,23/02/2023,02/01/2023,,,,,7440000000000000000,company5733441426.com,Company5733441426,El Salvador,North America,,,,0,02/01/2023,,,,
4294,Alyssa,Garrett,Request Demo,02/12/2022,01/12/2022,05/03/2023,03/01/2023,,,,,1860000000000000000,company3944877212.com,Company3944877212,Armenia,Europe,,,,0,03/01/2023,,,,
4585,James,Craig,Request Demo,23/11/2022,01/11/2022,22/01/2023,01/01/2023,,,,,8290000000000000000,company146885836.com,Company146885836,Saint Vincent and the Grenadines,North America,,,,0,01/01/2023,,,,
4680,Matthew,Harrell,Signup,30/12/2022,01/12/2022,01/01/2023,01/01/2023,,,,,13900000000000000000,company6741883020.com,Company6741883020,Austria,Europe,,,,0,01/01/2023,,,,
4732,Sheryl,Alexander,Signup,21/11/2022,01/11/2022,18/01/2023,01/01/2023,,,,,1890000000000000000,company8640756158.com,Company8640756158,Chad,Africa,,,,0,01/01/2023,,,,
4804,Kelly,Woodard,Signup,30/12/2022,01/12/2022,01/01/2023,01/01/2023,01/03/2023,01/01/2023,,,17400000000000000000,company7236311039.com,Company7236311039,Andorra,Europe,opp7801820365,Business Monthly,Legal,500,01/01/2023,0,01/01/2023,,
4891,Debra,Wilson,Request Demo,31/12/2022,01/12/2022,15/03/2023,03/01/2023,,,,,326000000000000000,company7174543576.com,Company7174543576,South Africa,Africa,,,,0,03/01/2023,,,,
4912,Tracey,Fry,Signup,22/12/2022,01/12/2022,18/01/2023,01/01/2023,,,,,6710000000000000000,company2251049050.com,Company2251049050,Greece,Europe,,,,0,01/01/2023,,,,
4948,Brandon,Morgan,Signup,31/12/2022,01/12/2022,18/03/2023,03/01/2023,,,,,4360000000000000000,company7630434399.com,Company7630434399,Bulgaria,Europe,,,,0,03/01/2023,,,,
4958,Scott,Taylor,Signup,21/12/2022,01/12/2022,03/01/2023,01/01/2023,01/07/2023,01/01/2023,04/01/2023,04/01/2023,17600000000000000000,company5414890582.com,Company5414890582,Portugal,Europe,opp4936312896,Professional Monthly,Closed Won,100,01/01/2023,0,01/01/2023,3,04/01/2023
5009,Christopher,Tyler,Request Demo,18/10/2023,01/10/2023,19/10/2023,10/01/2023,10/26/23,10/01/2023,12/13/23,12/01/2023,12100000000000000000,company3470053796.com,Company3470053796,Croatia,Europe,opp2648900641,Free,Closed Won,0,10/01/2023,0,10/01/2023,2,12/01/2023
5010,Jessica,Brown,Request Demo,21/02/2023,01/02/2023,23/02/2023,02/01/2023,,,,,1080000000000000000,company2378366040.com,Company2378366040,Ivory Coast,Africa,,,,0,02/01/2023,,,,
5020,Eric,Norris,Signup,18/07/2023,01/07/2023,20/07/2023,07/01/2023,,,,,6860000000000000000,company3763840991.com,Company3763840991,Belize,North America,,,,0,07/01/2023,,,,
5025,Hayden,Blair,Request Demo,19/03/2023,01/03/2023,09/05/2023,05/01/2023,,,,,4450000000000000000,company8248808286.com,Company8248808286,Djibouti,Africa,,,,0,05/01/2023,,,,
5027,Robin,Phillips,Signup,16/02/2023,01/02/2023,20/02/2023,02/01/2023,2/27/23,02/01/2023,,,8750000000000000000,company2677936075.com,Company2677936075,Finland,Europe,opp7093982870,Free,Closed Lost,0,02/01/2023,0,02/01/2023,,
5034,Wendy,Middleton,Request Demo,01/04/2023,01/04/2023,04/04/2023,04/01/2023,,,,,2100000000000000000,company7756753651.com,Company7756753651,Latvia,Europe,,,,0,04/01/2023,,,,
5035,Leslie,Harmon,Request Demo,04/01/2023,01/01/2023,07/01/2023,01/01/2023,,,,,12100000000000000000,company9083742350.com,Company9083742350,Portugal,Europe,,,,0,01/01/2023,,,,
5040,Nicholas,Williamson,Signup,13/12/2023,01/12/2023,18/12/2023,12/01/2023,,,,,679000000000000000,company246839350.com,Company246839350,Brunei,Asia,,,,0,12/01/2023,,,,
5041,Philip,Lopez,Signup,24/11/2023,01/11/2023,26/11/2023,11/01/2023,12/03/2023,12/01/2023,2/18/24,02/01/2024,4150000000000000000,company6867803520.com,Company6867803520,Ukraine,Europe,opp2908403738,Free,Closed Won,0,11/01/2023,1,12/01/2023,2,02/01/2024
5043,Katrina,Walker,Request Demo,28/10/2023,01/10/2023,01/11/2023,11/01/2023,11/07/2023,11/01/2023,12/05/2023,12/01/2023,14600000000000000000,company6806450539.com,Company6806450539,Dominica,North America,opp7430677209,Professional Monthly,Closed Won,100,11/01/2023,0,11/01/2023,1,12/01/2023
5044,William,Ortiz,Events,16/06/2023,01/06/2023,17/06/2023,06/01/2023,07/11/2023,07/01/2023,7/16/23,07/01/2023,3720000000000000000,company9861605536.com,Company9861605536,Armenia,Europe,opp4888001276,Free,Negotiation,0,06/01/2023,1,07/01/2023,0,07/01/2023
5047,Jay,Oneill,Signup,15/01/2023,01/01/2023,25/01/2023,01/01/2023,,,,,4200000000000000000,company1222128247.com,Company1222128247,Switzerland,Europe,,,,0,01/01/2023,,,,
5049,Steven,Martinez,Signup,02/08/2023,01/08/2023,03/08/2023,08/01/2023,,,,,4260000000000000000,company3564270654.com,Company3564270654,Grenada,North America,,,,0,08/01/2023,,,,
5050,Theodore,Bonilla,Signup,22/08/2023,01/08/2023,25/08/2023,08/01/2023,,,,,13100000000000000000,company6079406624.com,Company6079406624,Andorra,Europe,,,,0,08/01/2023,,,,
5053,Tara,Gray,Signup,15/02/2023,01/02/2023,18/02/2023,02/01/2023,,,,,16100000000000000000,company9790294337.com,Company9790294337,San Marino,Europe,,,,0,02/01/2023,,,,
5054,Amanda,Rivera,Signup,11/08/2023,01/08/2023,15/08/2023,08/01/2023,,,,,15600000000000000000,company5166808458.com,Company5166808458,Hungary,Europe,,,,0,08/01/2023,,,,
5057,Jose,Smith,Request Demo,24/01/2023,01/01/2023,28/01/2023,01/01/2023,02/03/2023,02/01/2023,,,2590000000000000000,company9505642802.com,Company9505642802,Azerbaijan,Europe,opp7750129358,Free,Closed Lost,0,01/01/2023,1,02/01/2023,,
5058,Paige,Smith,Signup,06/09/2023,01/09/2023,11/09/2023,09/01/2023,,,,,4170000000000000000,company1655556485.com,Company1655556485,Spain,Europe,,,,0,09/01/2023,,,,
5062,Stephen,Compton,Request Demo,04/08/2023,01/08/2023,05/08/2023,08/01/2023,08/07/2023,08/01/2023,,,11600000000000000000,company8947475932.com,Company8947475932,Netherlands,Europe,opp9568502124,Business Monthly,Legal,500,08/01/2023,0,08/01/2023,,
5065,Brittany,Murray,Request Demo,20/12/2023,01/12/2023,21/12/2023,12/01/2023,12/28/23,12/01/2023,,,8950000000000000000,company9551755879.com,Company9551755879,Vatican City,Europe,opp3968258988,Free,Legal,0,12/01/2023,0,12/01/2023,,
5067,Anthony,Edwards,Request Demo,18/02/2023,01/02/2023,20/02/2023,02/01/2023,03/12/2023,03/01/2023,,,12500000000000000000,company3193806375.com,Company3193806375,Canada,North America,opp1366489859,Professional Monthly,Contract Signed,100,02/01/2023,1,03/01/2023,,
5068,Benjamin,Wilson,Request Demo,23/09/2023,01/09/2023,21/12/2023,12/01/2023,,,,,15500000000000000000,company3626558232.com,Company3626558232,Norway,Europe,,,,0,12/01/2023,,,,
5072,Richard,Beasley,Request Demo,17/08/2023,01/08/2023,22/08/2023,08/01/2023,,,,,15500000000000000000,company6833074745.com,Company6833074745,Armenia,Europe,,,,0,08/01/2023,,,,
5075,Matthew,Schwartz,Request Demo,08/06/2023,01/06/2023,11/06/2023,06/01/2023,,,,,200000000000000000,company6433562802.com,Company6433562802,Tuvalu,Oceania,,,,0,06/01/2023,,,,
5076,Wendy,Franco,Gated Content,02/07/2023,01/07/2023,11/07/2023,07/01/2023,,,,,7090000000000000000,company1290168453.com,Company1290168453,Belize,North America,,,,0,07/01/2023,,,,
5080,Jeffrey,Turner,Signup,02/07/2023,01/07/2023,07/07/2023,07/01/2023,,,,,266000000000000000,company9124846874.com,Company9124846874,Belarus,Europe,,,,0,07/01/2023,,,,
5083,Rodney,Avery,3rd Party Data,21/03/2023,01/03/2023,30/03/2023,03/01/2023,04/01/2023,04/01/2023,,,11500000000000000000,company5043879251.com,Company5043879251,Slovenia,Europe,opp5712990679,Free,Contract Signed,0,03/01/2023,1,04/01/2023,,
5086,Daniel,Morris,Request Demo,23/03/2023,01/03/2023,27/03/2023,03/01/2023,04/05/2023,04/01/2023,,,16500000000000000000,company7603400242.com,Company7603400242,Nicaragua,North America,opp3263858598,Professional Monthly,Disqualified,100,03/01/2023,1,04/01/2023,,
5088,Todd,Lowe,Request Demo,25/08/2023,01/08/2023,22/12/2023,12/01/2023,12/23/23,12/01/2023,,,4120000000000000000,company8014802498.com,Company8014802498,Ukraine,Europe,opp8247907294,Free,Contract Signed,0,12/01/2023,0,12/01/2023,,
5090,Curtis,Garcia,Request Demo,18/02/2023,01/02/2023,20/02/2023,02/01/2023,,,,,8920000000000000000,company4590474787.com,Company4590474787,Angola,Africa,,,,0,02/01/2023,,,,
5094,Amy,Hamilton,Signup,18/10/2023,01/10/2023,20/10/2023,10/01/2023,,,,,17900000000000000000,company6939228440.com,Company6939228440,Georgia,Europe,,,,0,10/01/2023,,,,
5096,Nicole,Nash,Signup,07/11/2023,01/11/2023,10/11/2023,11/01/2023,11/14/23,11/01/2023,1/22/24,01/01/2024,443000000000000000,company4213287559.com,Company4213287559,Monaco,Europe,opp7886217600,Professional Monthly,Closed Won,100,11/01/2023,0,11/01/2023,2,01/01/2024
5097,James,Leach,Signup,30/01/2023,01/01/2023,24/04/2023,04/01/2023,,,,,18100000000000000000,company201478403.com,Company201478403,Saint Lucia,North America,,,,0,04/01/2023,,,,
5100,Vanessa,Lane,Signup,26/05/2023,01/05/2023,20/08/2023,08/01/2023,8/25/23,08/01/2023,8/27/23,08/01/2023,9250000000000000000,company7815642523.com,Company7815642523,CZ,Europe,opp9152144520,Business Monthly,Discovery,500,08/01/2023,0,08/01/2023,0,08/01/2023
5105,Megan,Gay,Request Demo,07/08/2023,01/08/2023,03/10/2023,10/01/2023,10/07/2023,10/01/2023,10/01/2023,10/01/2023,10500000000000000000,company625216585.com,Company625216585,Cyprus,Europe,opp571142143,Business Monthly,Closed Won,500,10/01/2023,0,10/01/2023,0,10/01/2023
5106,John,Ross,Signup,07/09/2023,01/09/2023,08/09/2023,09/01/2023,09/11/2023,09/01/2023,11/27/23,11/01/2023,14200000000000000000,company932868908.com,Company932868908,Cyprus,Europe,opp7168673503,Professional Monthly,Closed Won,100,09/01/2023,0,09/01/2023,2,11/01/2023
5109,Desiree,Edwards,Signup,23/03/2023,01/03/2023,25/03/2023,03/01/2023,,,,,16500000000000000000,company1586560864.com,Company1586560864,Iceland,Europe,,,,0,03/01/2023,,,,
5110,Austin,Freeman,Signup,17/10/2023,01/10/2023,18/10/2023,10/01/2023,10/24/23,10/01/2023,12/01/2023,12/01/2023,18300000000000000000,company6876880634.com,Company6876880634,Honduras,North America,opp6034948221,Free,Closed Won,0,10/01/2023,0,10/01/2023,2,12/01/2023
5113,Linda,Weiss,Request Demo,21/02/2023,01/02/2023,25/02/2023,02/01/2023,,,,,7570000000000000000,company9348562174.com,Company9348562174,Grenada,North America,,,,0,02/01/2023,,,,
5123,Matthew,Rubio,Request Demo,26/02/2023,01/02/2023,19/04/2023,04/01/2023,,,,,8080000000000000000,company3429708173.com,Company3429708173,Cyprus,Europe,,,,0,04/01/2023,,,,
5129,Brian,Brewer,Request Demo,28/10/2023,01/10/2023,31/10/2023,10/01/2023,,,,,14100000000000000000,company8904667106.com,Company8904667106,Montenegro,Europe,,,,0,10/01/2023,,,,
5133,Kim,Stewart,Signup,06/09/2023,01/09/2023,09/10/2023,10/01/2023,10/15/23,10/01/2023,,,2340000000000000000,company1359251633.com,Company1359251633,Vanuatu,Oceania,opp5597122316,Free,Contract Signed,0,10/01/2023,0,10/01/2023,,
5136,Amy,Roberts,Signup,19/06/2023,01/06/2023,22/06/2023,06/01/2023,,,,,13800000000000000000,company1534367513.com,Company1534367513,Slovenia,Europe,,,,0,06/01/2023,,,,
5141,Mark,Espinoza,Signup,14/05/2023,01/05/2023,14/08/2023,08/01/2023,,,,,17600000000000000000,company5996958290.com,Company5996958290,Saudi Arabia,Asia,,,,0,08/01/2023,,,,
5149,Jessica,Martinez,Request Demo,27/03/2023,01/03/2023,28/03/2023,03/01/2023,04/02/2023,04/01/2023,,,7890000000000000000,company5423855330.com,Company5423855330,France,Europe,opp6315496343,Professional Monthly,Contract Signed,100,03/01/2023,1,04/01/2023,,
5150,Jacqueline,Moore,Signup,06/06/2023,01/06/2023,11/06/2023,06/01/2023,08/09/2023,08/01/2023,,,12100000000000000000,company7463961056.com,Company7463961056,Slovenia,Europe,opp3867392020,Business Monthly,Disqualified,500,06/01/2023,2,08/01/2023,,
5151,Jason,Henderson,Signup,09/05/2023,01/05/2023,14/06/2023,06/01/2023,6/29/23,06/01/2023,07/05/2023,07/01/2023,4290000000000000000,company7967982588.com,Company7967982588,Botswana,Africa,opp2076295312,Professional Monthly,Contract Signed,100,06/01/2023,0,06/01/2023,1,07/01/2023
5152,Vincent,Nash,Signup,10/03/2023,01/03/2023,12/03/2023,03/01/2023,,,,,2860000000000000000,company3996283884.com,Company3996283884,Zambia,Africa,,,,0,03/01/2023,,,,
5153,Ashley,James,Request Demo,20/01/2023,01/01/2023,25/01/2023,01/01/2023,1/28/23,01/01/2023,03/09/2023,03/01/2023,13600000000000000000,company768931701.com,Company768931701,Macedonia,Europe,opp1544749183,Professional Monthly,Closed Won,100,01/01/2023,0,01/01/2023,2,03/01/2023
5157,Jeremy,Jones,Request Demo,23/04/2023,01/04/2023,30/05/2023,05/01/2023,,,,,17600000000000000000,company4744026156.com,Company4744026156,Haiti,North America,,,,0,05/01/2023,,,,
5162,Alexis,West,Signup,06/09/2023,01/09/2023,11/09/2023,09/01/2023,9/30/23,09/01/2023,10/01/2023,10/01/2023,5320000000000000000,company6994455969.com,Company6994455969,Slovakia,Europe,opp5577001862,Free,Closed Won,0,09/01/2023,0,09/01/2023,1,10/01/2023
5164,Alicia,Mitchell,Request Demo,02/05/2023,01/05/2023,03/05/2023,05/01/2023,,,,,8890000000000000000,company3132808307.com,Company3132808307,Italy,Europe,,,,0,05/01/2023,,,,
5172,Robert,Lara,Request Demo,01/05/2023,01/05/2023,06/05/2023,05/01/2023,,,,,13900000000000000000,company3302148141.com,Company3302148141,Latvia,Europe,,,,0,05/01/2023,,,,
5176,William,Johnson,Request Demo,12/02/2023,01/02/2023,11/03/2023,03/01/2023,03/12/2023,03/01/2023,05/01/2023,05/01/2023,2880000000000000000,company8268228192.com,Company8268228192,Hungary,Europe,opp7774815811,Professional Monthly,Closed Won,100,03/01/2023,0,03/01/2023,2,05/01/2023
